flow,signal,type,x,y,degree,congestion_label
-4.858781397342681885e-01,-1.306181430816650391e+00,8.164964914321899414e-01,1.366963505744934082e+00,-9.333440065383911133e-01,0.000000000000000000e+00,3.673862814903259277e-01
1.436904430389404297e+00,2.003256320953369141e+00,8.164964914321899414e-01,-2.119337618350982666e-01,-8.906829357147216797e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.070006728172302246e-01,1.524032592773437500e+00,-1.224744915962219238e+00,9.900514483451843262e-01,9.714372158050537109e-01,0.000000000000000000e+00,7.484235763549804688e-01
2.620396316051483154e-01,-6.377067565917968750e-01,8.164964914321899414e-01,4.408948719501495361e-01,6.629343628883361816e-01,0.000000000000000000e+00,6.905831694602966309e-01
-1.215118288993835449e+00,-7.440819144248962402e-01,-1.224744915962219238e+00,-2.616534233093261719e-01,1.602749228477478027e+00,0.000000000000000000e+00,6.683934479951858521e-02
-1.215198755264282227e+00,-7.385755181312561035e-01,-1.224744915962219238e+00,-1.598324894905090332e+00,-1.175580501556396484e+00,0.000000000000000000e+00,1.021008417010307312e-01
-1.541942596435546875e+00,-3.173238337039947510e-01,8.164964914321899414e-01,1.241533041000366211e+00,-2.589339017868041992e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.154787421226501465e+00,4.514094293117523193e-01,-1.224744915962219238e+00,8.315432071685791016e-02,-1.138225793838500977e+00,0.000000000000000000e+00,8.753821253776550293e-01
2.702374458312988281e-01,1.278600692749023438e-01,8.164964914321899414e-01,-4.606182873249053955e-01,1.275017857551574707e+00,0.000000000000000000e+00,5.476134419441223145e-01
6.271713376045227051e-01,-3.626886606216430664e-01,8.164964914321899414e-01,-1.590066790580749512e+00,-1.153698861598968506e-01,0.000000000000000000e+00,7.410057783126831055e-01
8.205829262733459473e-01,1.185223340988159180e+00,-9.176629185676574707e-01,1.489101648330688477e+00,-1.280122160911560059e+00,0.000000000000000000e+00,9.002864956855773926e-01
3.147833645343780518e-01,2.080531567335128784e-01,-9.176629185676574707e-01,7.002031803131103516e-01,1.926814168691635132e-01,0.000000000000000000e+00,7.257702350616455078e-01
-1.733682155609130859e+00,7.266644239425659180e-01,2.294157147407531738e-01,-5.787265896797180176e-01,-1.135357379913330078e+00,0.000000000000000000e+00,5.735731124877929688e-02
7.737586498260498047e-01,8.307979702949523926e-01,1.376494407653808594e+00,-1.571565508842468262e+00,-9.340226054191589355e-01,0.000000000000000000e+00,1.000000000000000000e+00
9.066330194473266602e-01,7.319465875625610352e-01,-9.176629185676574707e-01,7.808105349540710449e-01,-9.381825327873229980e-01,0.000000000000000000e+00,9.702836275100708008e-01
9.731423854827880859e-01,-7.040582299232482910e-01,-9.176629185676574707e-01,3.898420929908752441e-02,7.741597890853881836e-01,0.000000000000000000e+00,9.445171952247619629e-01
-1.910340785980224609e+00,-1.412729978561401367e+00,2.294157147407531738e-01,-4.160706698894500732e-01,1.086025476455688477e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.790215224027633667e-01,-8.065724968910217285e-01,-9.176629185676574707e-01,1.218994259834289551e+00,5.621106028556823730e-01,0.000000000000000000e+00,7.190095782279968262e-01
-4.072077274322509766e-01,9.179499745368957520e-01,1.376494407653808594e+00,-1.477636933326721191e+00,1.782086730003356934e+00,0.000000000000000000e+00,4.220634996891021729e-01
8.330799639225006104e-02,-1.677275061607360840e+00,1.376494407653808594e+00,-1.840939074754714966e-01,-1.093790605664253235e-01,0.000000000000000000e+00,6.945753693580627441e-01
1.407721638679504395e+00,-1.110760688781738281e+00,-1.290994405746459961e+00,2.111975550651550293e-01,1.017001867294311523e+00,0.000000000000000000e+00,9.210696816444396973e-01
-4.096108675003051758e-01,1.665354847908020020e+00,-1.290994405746459961e+00,-1.225355863571166992e-01,1.238177791237831116e-01,0.000000000000000000e+00,3.607546091079711914e-01
3.081563115119934082e-01,1.587726473808288574e-01,0.000000000000000000e+00,-2.821627557277679443e-01,-1.331560850143432617e+00,0.000000000000000000e+00,5.875245332717895508e-01
4.781480133533477783e-01,4.425897896289825439e-01,1.290994405746459961e+00,3.518703281879425049e-01,-8.351073265075683594e-01,0.000000000000000000e+00,6.650864481925964355e-01
-1.558657646179199219e+00,-1.166412949562072754e+00,0.000000000000000000e+00,-1.261973023414611816e+00,1.290246129035949707e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.810233354568481445e-01,9.133606553077697754e-01,-1.290994405746459961e+00,-1.155469417572021484e+00,1.073662281036376953e+00,0.000000000000000000e+00,6.734409332275390625e-01
-1.016070246696472168e+00,-7.314164042472839355e-01,0.000000000000000000e+00,1.557644486427307129e+00,-1.325070261955261230e+00,0.000000000000000000e+00,1.552655696868896484e-01
1.559780120849609375e+00,1.364391446113586426e+00,1.290994405746459961e+00,1.894180178642272949e+00,-5.852235555648803711e-01,0.000000000000000000e+00,1.000000000000000000e+00
-1.112695693969726562e+00,-7.459314465522766113e-01,1.290994405746459961e+00,-3.917226791381835938e-01,-5.506654381752014160e-01,0.000000000000000000e+00,1.038576662540435791e-01
-2.377956062555313110e-01,-7.899458408355712891e-01,0.000000000000000000e+00,-8.010283112525939941e-01,1.122898459434509277e+00,0.000000000000000000e+00,4.637187123298645020e-01
-5.174315571784973145e-01,-3.082507252693176270e-01,-1.093216419219970703e+00,5.821398496627807617e-01,-6.621715426445007324e-01,0.000000000000000000e+00,2.565856575965881348e-01
6.881576776504516602e-01,2.902858890593051910e-02,-1.093216419219970703e+00,-1.062057137489318848e+00,-7.659834027290344238e-01,0.000000000000000000e+00,6.350522041320800781e-01
-1.082041263580322266e+00,4.921877980232238770e-01,4.685213267803192139e-01,-5.697436258196830750e-02,-9.659150242805480957e-01,0.000000000000000000e+00,9.428141266107559204e-02
1.062491774559020996e+00,-6.971592903137207031e-01,2.030258893966674805e+00,-1.271149516105651855e+00,7.242466211318969727e-01,0.000000000000000000e+00,7.716363072395324707e-01
-2.338395267724990845e-01,8.584569692611694336e-01,4.685213267803192139e-01,-1.097584486007690430e+00,9.468383193016052246e-01,0.000000000000000000e+00,3.783674538135528564e-01
1.955439448356628418e+00,1.495409488677978516e+00,4.685213267803192139e-01,1.201133206486701965e-01,-1.197837471961975098e+00,0.000000000000000000e+00,1.000000000000000000e+00
-6.249402090907096863e-02,1.185799837112426758e+00,-1.093216419219970703e+00,-8.905045986175537109e-01,1.676898956298828125e+00,0.000000000000000000e+00,3.801663219928741455e-01
5.374975204467773438e-01,-1.669300556182861328e+00,4.685213267803192139e-01,7.727410197257995605e-01,-1.133057236671447754e+00,0.000000000000000000e+00,5.619277358055114746e-01
-1.299858331680297852e+00,3.121990710496902466e-02,4.685213267803192139e-01,1.239112138748168945e+00,4.219284653663635254e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.047920227050781250e+00,-1.417392373085021973e+00,-1.093216419219970703e+00,1.664162755012512207e+00,9.550521969795227051e-01,0.000000000000000000e+00,1.076679676771163940e-01
1.805332899093627930e-01,1.385195255279541016e+00,-1.290994405746459961e+00,8.696683645248413086e-01,9.482198208570480347e-02,0.000000000000000000e+00,6.819210648536682129e-01
-1.192205548286437988e+00,-6.075286269187927246e-01,1.290994405746459961e+00,-4.660138189792633057e-01,-9.750932455062866211e-01,0.000000000000000000e+00,2.834753990173339844e-01
1.284933805465698242e+00,4.994243085384368896e-01,0.000000000000000000e+00,-3.443154990673065186e-01,-1.370781183242797852e+00,0.000000000000000000e+00,1.000000000000000000e+00
-3.187547251582145691e-02,1.484747678041458130e-01,0.000000000000000000e+00,6.555585861206054688e-01,1.546628475189208984e+00,0.000000000000000000e+00,6.409110426902770996e-01
6.823647618293762207e-01,-7.036725282669067383e-01,-1.290994405746459961e+00,-1.437997817993164062e+00,-5.848122239112854004e-01,0.000000000000000000e+00,9.318747520446777344e-01
-2.032628536224365234e+00,4.333284869790077209e-02,1.290994405746459961e+00,-1.325792312622070312e+00,-9.458327293395996094e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.379318714141845703e-01,-9.678114056587219238e-01,0.000000000000000000e+00,2.070287913084030151e-01,1.171364426612854004e+00,0.000000000000000000e+00,8.800235986709594727e-01
1.076955795288085938e+00,-1.110890626907348633e+00,-1.290994405746459961e+00,1.721904993057250977e+00,8.682523965835571289e-01,0.000000000000000000e+00,9.460263252258300781e-01
